time, Quad.Est.E.Pos, Quad.Est.S.Z
4.124884,0.090759,0.369920
4.129883,0.091022,0.370028
4.134883,0.091448,0.370191
4.139883,0.091730,0.370300
4.144882,0.092153,0.370465
4.149882,0.092426,0.370575
4.154881,0.092835,0.370741
4.159881,0.093116,0.370852
4.164881,0.093527,0.371020
4.169880,0.093815,0.371132
4.174880,0.094226,0.371301
4.179880,0.094515,0.371414
4.184879,0.094925,0.371584
4.189879,0.095124,0.371698
4.194879,0.095519,0.371870
4.199878,0.095809,0.371985
4.204878,0.083666,0.370938
4.209877,0.083943,0.371044
4.214877,0.084352,0.371204
4.219877,0.084656,0.371311
4.224876,0.085057,0.371472
4.229876,0.085374,0.371580
4.234876,0.085757,0.371742
4.239875,0.086018,0.371851
4.244875,0.086396,0.372015
4.249875,0.086643,0.372125
4.254874,0.087016,0.372290
4.259874,0.087226,0.372401
4.264874,0.087583,0.372567
4.269873,0.087821,0.372679
4.274873,0.088180,0.372847
4.279872,0.088398,0.372960
4.284872,0.088754,0.373129
4.289872,0.089174,0.373243
4.294871,0.089563,0.373414
4.299871,0.089684,0.373528
4.304871,0.076672,0.372486
4.309870,0.076689,0.372592
4.314870,0.076689,0.372751
4.319870,0.076631,0.372857
4.324869,0.076645,0.373018
4.329869,0.076683,0.373125
4.334868,0.076689,0.373287
4.339868,0.076686,0.373395
4.344868,0.076702,0.373559
4.349867,0.076720,0.373668
4.354867,0.076750,0.373833
4.359867,0.076792,0.373943
4.364866,0.076835,0.374109
4.369866,0.076838,0.374220
4.374866,0.076878,0.374388
4.379865,0.076846,0.374500
4.384865,0.076878,0.374669
4.389864,0.076904,0.374782
4.394864,0.076942,0.374952
4.399864,0.077041,0.375066
4.404863,0.067274,0.374028
4.409863,0.067167,0.374133
4.414863,0.066913,0.374291
4.419862,0.066719,0.374398
4.424862,0.066483,0.374557
4.429862,0.066347,0.374664
4.434861,0.066115,0.374826
4.439861,0.065963,0.374934
4.444860,0.065739,0.375096
4.449860,0.065607,0.375205
4.454860,0.065411,0.375369
4.459859,0.065228,0.375479
4.464859,0.065019,0.375644
4.469859,0.064887,0.375755
4.474858,0.064690,0.375922
4.479858,0.064630,0.376033
4.484858,0.064463,0.376202
4.489857,0.064551,0.376314
4.494857,0.064442,0.376484
4.499856,0.064551,0.376597
4.504856,0.053534,0.375563
4.509856,0.053209,0.375668
4.514855,0.052732,0.375826
4.519855,0.052425,0.375931
4.524855,0.051971,0.376091
4.529854,0.051675,0.376197
4.534854,0.051245,0.376358
4.539854,0.050965,0.376465
4.544853,0.050561,0.376627
4.549853,0.050299,0.376736
4.554852,0.049919,0.376899
4.559852,0.049673,0.377008
4.564852,0.049319,0.377173
4.569851,0.049063,0.377283
4.574851,0.048726,0.377450
4.579851,0.048503,0.377561
4.584850,0.048190,0.377728
4.589850,0.047959,0.377840
4.594850,0.047665,0.378009
4.599849,0.047478,0.378123
